S_1
11 8 90
8 x x
90 22 91
22 21 50
21 x x
50 42 82
42 x x
82 x 85
85 x x
91 90 91
90 x x
91 x x

S_2
10 6 42
6 x x
42 20 79
20 x x
79 56 84
56 47 76
47 x x
76 x x
84 x 88
88 x x

S_3
12 2 72
2 x x
72 27 93
27 18 69
18 x x
69 66 x
66 x x
93 x x

AVL_1
73 36 85
36 3 53
3 x 22
22 x x
53 47 65
47 x x
65 x x
85 74 97
74 x 79
79 x x
97 91 x
91 x x

AVL_2
37 16 71
16 7 37
7 x x
37 34 x
34 x x
71 54 79
54 47 x
47 x x
79 x 89
89 x x

AVL_3
54 29 80
29 20 44
20 x x
44 x x
80 71 97
71 61 x
61 x x
97 x x


RB_1
35 31 78
31 4 32
4 2 21
2 x x
21 x x
32 x x
78 77 98
77 73 x
73 x x
98 79 98
79 x x
98 x x

RB_2
17 5 52
5 3 10
3 x x
10 x x
52 46 67
46 25 x
25 x x
67 52 89
52 x x
89 x x

RB_3
21 18 75
18 7 x
7 x x
75 46 89
46 45 x
45 x x
89 84 x
84 x x

